collector,specimen_ID,genus,species,order,sex,mass (g),day,date_ISO,time,timezone,country,departament,municipio,locality,longitude,latitude,elevation,ectoparasite_sample,ectoparsite_ sampling_method,ecotparasite_box_location_ cold_storage,ectoparasites_box,lice_total,feather_mites_total,ticks_total,flies_total,fleas_total
GAL,A2526,Basileuterus,tristiatus,Passeriformes,U,28.23,Thu,2015-4-9,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09191667,5.23225,1400,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2527,Basileuterus,tristiatus,Passeriformes,U,24.25,Fri,2015-4-10,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09191667,5.23225,1400,YES,powder,Universidad Icesi,"E3,51",3.0,0.0,0,0,0
GAL,A2528,Mionectes,olivaceus,Passeriformes,F,26.81,Fri,2015-4-10,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09191667,5.23225,1400,YES,powder,Universidad Icesi,"E3,49",1.0,0.0,0,0,0
GAL,A2529,Mionectes,olivaceus,Passeriformes,F,33.97,Fri,2015-4-10,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09191667,5.23225,1400,YES,powder,Universidad Icesi,"E3,52",0.0,0.0,1,0,0
GAL,A2530,Glyphorynchus,spirurus,Passeriformes,U,26.28,Fri,2015-4-10,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09191667,5.23225,1400,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2531,Mionectes,olivaceus,Passeriformes,F,27.6,Fri,2015-4-10,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09191667,5.23225,1400,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2558,Mionectes,olivaceus,Passeriformes,U,33.75,Tue,2015-4-21,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.078,5.223055556,1600,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2570,Glyphorynchus,spirurus,Passeriformes,U,25.8,Wed,2015-4-22,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.078,5.223055556,1600,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2571,Mionectes,olivaceus,Passeriformes,M,32.92,Wed,2015-4-22,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.078,5.223055556,1600,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2573,Myiotriccus,ornatus,Passeriformes,U,20.75,Wed,2015-4-22,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.078,5.223055556,1600,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
